"","City","pos.count","neg.count","complete.count","score"
"23","Florence",525,5,530,99
"10","Boston",421,13,434,97
"28","Hong Kong",451,15,466,97
"36","Luxembourg",364,10,374,97
"40","Melbourne",456,15,471,97
"58","Tokyo",368,11,379,97
"63","Washington",618,16,634,97
"9","Berlin",491,19,510,96
"12","Budapest",524,21,545,96
"13","Chennai",408,15,423,96
"20","Dubai",455,19,474,96
"25","Galway",447,21,468,96
"62","Vienna",364,14,378,96
"42","Miami",228,13,241,95
"47","Newcastle",284,14,298,95
"61","Venice",338,19,357,95
"1","Amsterdam",367,24,391,94
"4","Bangalore",323,21,344,94
"6","Barcelona",279,17,296,94
"29","Istanbul",249,15,264,94
"30","Jakarta",298,20,318,94
"39","Manchester",384,25,409,94
"51","Pattaya",436,29,465,94
"56","Singapore",183,11,194,94
"11","Brisbane",398,30,428,93
"24","Frankfurt",304,24,328,93
"33","Liverpool",188,15,203,93
"49","Oxford",327,25,352,93
"16","Cork",349,30,379,92
"19","Doha",347,32,379,92
"26","Glasgow",277,23,300,92
"27","Hamilton",396,33,429,92
"31","Johannesburg",248,23,271,92
"50","Paris",444,39,483,92
"22","Dusseldorf",373,43,416,90
"57","Sydney",293,33,326,90
"45","Mumbai",425,55,480,89
"53","Phuket",161,19,180,89
"8","Belfast",376,53,429,88
"14","Chicago",254,35,289,88
"35","Los Angeles",252,36,288,88
"55","Rome",327,44,371,88
"15","Christchurch",313,48,361,87
"46","Munich",411,67,478,86
"52","Perth",313,51,364,86
"32","Limerick",269,46,315,85
"48","Ottawa",307,54,361,85
"60","Valencia",281,49,330,85
"2","Atlanta",278,52,330,84
"3","Auckland",300,58,358,84
"5","Bangkok",198,41,239,83
"7","Beijing",261,55,316,83
"34","London",299,61,360,83
"37","Madrid",249,50,299,83
"59","Toronto",292,63,355,82
"41","Mexico",248,60,308,81
"44","Moscow",247,89,336,74
"18","Delhi",218,86,304,72
"21","Dublin",112,49,161,70
"38","Malmo",314,159,473,66
"43","Milan",150,79,229,66
"54","Prague",168,90,258,65
"17","Dallas",210,128,338,62
